Survived,Pclass,Sex,Age,SibSp,Fare,Cabin,Embarked,Alone,Title,NameSize,NameCount
0,3,male,22.0,1.0,7.25,0,S,0, Mr,23,4
1,1,female,38.0,1.0,65.6344,1,C,0, Mrs,51,7
1,3,female,26.0,0.0,7.925,0,S,1, Miss,22,3
1,1,female,35.0,1.0,53.1,1,S,0, Mrs,44,7
0,3,male,35.0,0.0,8.05,0,S,1, Mr,24,4
0,3,male,28.0,0.0,8.4583,0,Q,1, Mr,16,3
0,1,male,54.0,0.0,51.8625,1,S,1, Mr,23,4
0,3,male,2.5,2.5,21.075,0,S,0, Other,30,4
1,3,female,27.0,0.0,11.1333,0,S,1, Mrs,49,7
1,2,female,14.0,1.0,30.0708,0,C,0, Mrs,35,5
1,3,female,4.0,1.0,16.7,1,S,0, Miss,31,4
1,1,female,54.5,0.0,26.55,1,S,1, Miss,24,3
0,3,male,20.0,0.0,8.05,0,S,1, Mr,30,4
0,3,male,39.0,1.0,31.275,0,S,0, Mr,27,4
0,3,female,14.0,0.0,7.8542,0,S,1, Miss,36,5
1,2,female,54.5,0.0,16.0,0,S,1, Mrs,32,6
0,3,male,2.5,2.5,29.125,0,Q,0, Other,20,3
1,2,male,28.0,0.0,13.0,0,S,1, Mr,28,4
0,3,female,31.0,1.0,18.0,0,S,0, Mrs,55,7
1,3,female,28.0,0.0,7.225,0,C,1, Mrs,23,3
0,2,male,35.0,0.0,26.0,0,S,1, Mr,20,4
1,2,male,34.0,0.0,13.0,1,S,1, Mr,21,3
1,3,female,15.0,0.0,8.0292,0,Q,1, Miss,27,4
1,1,male,28.0,0.0,35.5,1,S,1, Mr,28,4
0,3,female,8.0,2.5,21.075,0,S,0, Miss,29,4
1,3,female,38.0,1.0,31.3875,0,S,0, Mrs,57,8
0,3,male,28.0,0.0,7.225,0,C,1, Mr,23,4
0,1,male,19.0,2.5,65.6344,1,S,0, Mr,30,4
1,3,female,28.0,0.0,7.8792,0,Q,1, Miss,29,4
0,3,male,28.0,0.0,7.8958,0,S,1, Mr,19,3
0,1,male,40.0,0.0,27.7208,0,C,1, Other,24,4
1,1,female,28.0,1.0,65.6344,1,C,0, Mrs,46,6
1,3,female,28.0,0.0,7.75,0,Q,1, Miss,24,4
0,2,male,54.5,0.0,10.5,0,S,1, Mr,21,4
0,1,male,28.0,1.0,65.6344,0,C,0, Mr,23,4
0,1,male,42.0,1.0,52.0,0,S,0, Mr,30,4
1,3,male,28.0,0.0,7.2292,0,C,1, Mr,16,3
0,3,male,21.0,0.0,8.05,0,S,1, Mr,24,4
0,3,female,18.0,2.0,18.0,0,S,0, Miss,34,5
1,3,female,14.0,1.0,11.2417,0,C,0, Miss,27,3
0,3,female,40.0,1.0,9.475,0,S,0, Mrs,46,6
0,2,female,27.0,1.0,21.0,0,S,0, Mrs,56,8
0,3,male,28.0,0.0,7.8958,0,C,1, Mr,19,3
1,2,female,3.0,1.0,41.5792,0,C,0, Miss,40,6
1,3,female,19.0,0.0,7.8792,0,Q,1, Miss,29,4
0,3,male,28.0,0.0,8.05,0,S,1, Mr,24,4
