"Survived","Age","SibSp","Fare","Cabin","Alone","NameSize","NameCount","Pclass_1","Pclass_2","Sex_female","Embarked_C","Embarked_Q","Title_Miss","Title_Mrs","Title_Other","predict_LR","predict_RF"
"0",40,0,14.5,"0","1",31,5,0,0,0,0,0,0,0,0,0.0297023036053561,0.01
"0",32,0,13.5,"0","1",25,4,0,1,0,0,0,0,0,0,0.100357549818413,0.01
"1",31,0,7.925,"0","1",18,3,0,0,0,0,0,0,0,0,0.0475517854300982,0.17
"0",11,1,14.5,"0","0",33,5,0,0,0,0,0,0,0,1,0.569028273287757,0.23
"1",19,0,10.5,"0","1",25,4,0,1,0,0,0,0,0,0,0.184418927928191,0.125
"0",23,0,7.8958,"0","1",18,3,0,0,0,0,0,0,0,0,0.0715974605384419,0
"1",17,2.5,7.925,"0","0",31,4,0,0,1,0,0,1,0,0,0.167412734122843,0.385
"0",28,0,7.75,"0","1",19,3,0,0,0,0,1,0,0,0,0.0555057789978825,0
"0",28,0,8.05,"0","1",19,3,0,0,0,0,0,0,0,0,0.0555057789978825,0
"1",28,1,51.8625,"1","0",33,5,1,0,1,0,0,0,1,0,0.969438523129988,1
"0",28,0,8.05,"0","1",33,5,0,0,0,0,0,0,0,0,0.0555057789978825,0.01
"0",40,0,7.75,"0","1",18,3,0,0,0,0,1,0,0,0,0.0297023036053561,0
"0",50,1,14.5,"0","0",23,4,0,0,0,0,0,0,0,0,0.01360010453525,0.01
"1",11,1,65.6344,"1","0",35,5,1,0,0,0,0,0,0,1,0.950278920577505,0.72
"0",54.5,0,61.9792,"1","1",30,4,1,0,0,1,0,0,0,0,0.167697583380737,0.105
"1",36,0,65.6344,"1","1",34,5,1,0,0,1,0,0,0,0,0.355137038605391,0.635
"1",28,0,13,"0","1",28,4,0,1,0,0,0,0,0,0,0.121761626453442,0.105
"1",28,0,7.7375,"0","1",24,3,0,0,1,0,1,1,0,0,0.738585700238359,0.93
"1",52,1,65.6344,"1","0",47,6,1,0,1,1,0,0,1,0,0.895906356304715,1
"0",20,0,9.225,"0","1",27,4,0,0,0,0,0,0,0,0,0.0832221360690701,0.025
"1",2.5,1,18.75,"0","0",31,4,0,1,0,0,0,0,0,1,0.831764353733883,0.9
"0",23,0,13,"0","1",28,4,0,1,0,0,0,0,0,0,0.153931037606136,0.01
"0",44,2,65.6344,"1","0",27,4,1,0,0,0,1,0,0,1,0.302746625200289,0.105
"0",27,0,7.75,"0","1",20,3,0,0,0,0,1,0,0,0,0.0584249462172016,0.005
"1",22,0,7.725,"0","1",28,4,0,0,1,0,1,1,0,0,0.796528762704614,0.945
"0",27,0,7.2292,"0","1",17,3,0,0,0,1,0,0,0,0,0.0584249462172016,0
"0",28,0,7.8958,"0","1",20,3,0,0,0,0,0,0,0,0,0.0555057789978825,0
"0",28,0,7.8958,"0","1",22,3,0,0,0,0,0,0,0,0,0.0555057789978825,0.005
"1",42,1,26,"0","0",51,7,0,1,1,0,0,0,1,0,0.707221781321392,0.9
"0",31,0,50.4958,"1","1",36,5,1,0,0,0,0,0,0,0,0.41951188537038,0.35
"0",27,0,25.7417,"0","1",25,4,1,0,0,1,0,0,0,0,0.24965358280878,0.025
"0",28,0,47.1,"0","1",23,4,1,0,0,0,0,0,0,0,0.239611244773225,0.05
"0",26,0,7.225,"0","1",25,3,0,0,0,1,0,0,0,0,0.0614876439961697,0.03
"0",28,0,42.4,"0","1",25,4,1,0,0,0,0,0,0,0,0.239611244773225,0.045
"1",48,0,26.55,"1","1",19,3,1,0,0,0,0,0,0,0,0.222916596930618,0.34
"1",35,1,57.75,"1","0",31,5,1,0,1,1,0,0,1,0,0.955913655279051,0.985
"1",16,0,7.65,"0","1",27,4,0,0,1,0,0,1,0,0,0.844335454776523,0.91
"0",36,0,7.25,"0","1",19,3,0,0,0,0,0,0,0,0,0.0366510712553597,0
"0",30,0,13,"0","1",30,4,0,1,0,0,0,0,0,0,0.110607037292696,0
"0",20,0,13.8625,"1","1",44,6,0,1,0,1,0,0,0,0,0.366339302734066,0.14
"0",22,0,10.5,"0","1",25,4,0,1,0,0,0,0,0,0,0.161143436389579,0.03
"1",35,1,53.1,"1","0",44,7,1,0,1,0,0,0,1,0,0.955913655279051,1
"0",27,0,8.05,"0","1",31,4,0,0,0,0,0,0,0,0,0.0584249462172016,0
"0",32,0,13,"0","1",26,5,0,1,0,0,0,0,0,0,0.100357549818413,0.005
"0",51,0,12.525,"0","1",26,4,0,1,0,0,0,0,0,1,0.313509456033785,0.05
"0",24,0,65.6344,"1","1",18,3,1,0,0,1,0,0,0,0,0.513916855379992,0.2
"1",29,0,7.925,"0","1",30,4,0,0,1,0,0,1,0,0,0.727956499813601,0.66
"0",24,2,31.5,"0","0",29,4,0,1,0,0,0,0,0,0,0.017924040795348,0.015
"1",27,0,8.6625,"0","1",17,3,0,0,0,0,0,0,0,0,0.0584249462172016,0.065
"0",45,0,6.975,"0","1",18,3,0,0,0,0,0,0,0,0,0.0227954521169805,0.015
"1",3.875,1,23,"0","0",27,4,0,1,0,0,0,0,0,1,0.821046014714753,0.86
"0",46,0,26,"0","1",26,4,1,0,0,0,0,0,0,0,0.105917660427349,0.02
"0",31,1,26.25,"0","0",19,3,0,1,0,0,0,0,0,0,0.0837080741100858,0.05
"0",27,0,65.6344,"1","1",25,4,1,0,0,1,0,0,0,0,0.473182716707506,0.25
"0",20,0,8.05,"0","1",30,4,0,0,0,0,0,0,0,0,0.0832221360690701,0.035
"0",34,1,21,"0","0",18,3,0,1,0,0,0,0,0,0,0.0720208538720135,0
"0",26,1,26,"0","0",37,5,0,1,1,0,0,0,1,0,0.852148210119341,0.61
